Period,Day,q_inverter,net_p_demand,q_consumption,q_capacity,p_x_q,p_x_p,p_x_q_capacity,voltage
78,20,23.999480059934445,0.32299999999999995,0.1525073613767613,23.9999744791531,0.21756337488304603,0.7453675688224494,0.09268160959674998,178921.63629001667
78,21,23.999416401150153,0.22699999999999998,0.15080336851221648,23.999663976814343,0.17488283685585176,0.8383543934308398,0.07449977653343179,178887.86968995325
78,22,16.254678691441825,0.507,0.36508047122872744,23.99744778096204,0.06058551548509944,0.4154147449745614,0.02580932152034477,182391.30158431717
78,23,23.996096612312243,0.18000000000000002,0.11842750408586493,23.999799915832632,0.2988216381219298,0.8150196822762985,0.12729748478284061,182158.75168499444
78,24,23.99880601174444,0.29800000000000004,0.1691212918060733,23.999795811631397,0.25552582816159886,1.7528913221206193,0.1088535469735675,178922.17613007798
78,25,13.541474617787802,0.36499999999999994,0.34676254793487066,23.995799611598695,0.2963865496193072,0.8265740787688476,0.1262601414245896,182102.74721367803
79,1,23.99951883342431,0.343,0.14611738813471825,24.0,0.2480852084335706,1.0337656316099197,0.10568385624247961,179048.43324525162
79,2,23.999683809592305,0.479,0.20405314552924206,24.0,0.2501582292741397,0.9401349028539909,0.10656695942257523,178662.95237085046
79,3,23.99912867692482,0.564,0.24026299390081945,24.0,0.18674759157642504,0.761522031609644,0.07955414087928961,178588.4858793416
79,4,23.999230454295315,0.452,0.19255119369356455,24.0,0.2634676393190223,1.2358275377581662,0.1122367443595205,178820.35150929698
79,5,23.999625672115194,0.416,0.17721525791266116,24.0,0.06273646503720189,0.9315654545240366,0.026725622192539385,179139.1792466504
79,6,23.999116630582087,0.349,0.14867337743153544,24.0,0.22170435063177016,1.3760202426879116,0.09444565787876974,179429.69890293974
79,7,23.99756922494295,0.413,0.17593726326425255,24.0,0.4158274908338444,1.0646731531699039,0.17714176931561174,180114.38186975708
79,8,23.998287426523532,0.261,0.11118553441154945,24.0,0.22212163301479512,0.821957848449135,0.09462341942956345,179777.8392045003
79,9,23.477483621218603,0.484,0.2061831366099231,24.0,0.2391766843202312,0.9152877811587125,0.10188884086179066,182879.00633839075
79,10,23.999748539508182,0.379,0.16145332391562162,24.0,0.5263501759494231,1.6642908239738845,0.22422423601743174,178665.09682642025
79,11,23.99774698652157,0.441,0.1878652133160663,24.0,0.40882704470960857,1.857106138733248,0.17415959175452966,179026.40060707583
79,12,23.99956996849273,0.245,0.10436956295337016,24.0,0.31851651084013655,0.8188013920274957,0.1356874654278263,178632.8124664689
79,13,23.999014127437384,0.454,0.19340319012583695,24.0,0.23479439433166213,1.042124907553347,0.1000219931440687,178596.43140387387
79,14,23.99937404291915,0.399,0.1699732882383457,24.0,0.26795981834715915,0.9849446398990743,0.11415040461207127,180432.21244531218
79,15,23.99948021089905,0.391,0.16656530250925605,24.0,0.3154815982606298,1.1672996673986844,0.1343945980828271,178867.9910832594
79,16,23.997248006020122,0.114,0.04856379663952735,24.0,0.338466360513114,0.9794421975906539,0.14418606580070015,179312.325644202
79,17,23.99916249403426,0.428,0.18232723650629562,24.0,0.25249978900896347,0.9728415443354962,0.10756445969258653,179062.55204648644
79,18,23.997334651198685,0.398,0.1695472900222095,24.0,0.38695472127587843,0.8951043831498663,0.16484202098900652,181394.41957826642
79,19,23.998746253550983,0.298,0.126947468408589,24.0,0.5708552198626408,1.7064323636005003,0.24318330533352592,178792.96540473987
79,20,23.9995405845562,0.136,0.05793575739452385,24.0,0.21756337488304603,0.7453675688224494,0.09268160959674998,179069.8050630483
79,21,23.999395552191594,0.384,0.16358331499630263,24.0,0.17488283685585176,0.8383543934308398,0.07449977653343179,178756.48079869515
79,22,23.99373521863634,0.216,0.09201561468542023,24.0,0.06058551548509944,0.4154147449745614,0.02580932152034477,181882.15255023242
79,23,23.998454131608057,0.314,0.13376343986676828,24.0,0.2988216381219298,0.8150196822762985,0.12729748478284061,179155.15886543025
79,24,23.997865036663246,0.488,0.22066707595855406,23.999981249992675,0.25552582816159886,1.7528913221206193,0.1088535469735675,179194.31959056974
79,25,23.998658744763297,0.288,0.12268748624722696,24.0,0.2963865496193072,0.8265740787688476,0.1262601414245896,180807.29120858756
80,1,23.98417774341614,0.362,0.1542113542413061,24.0,0.2480852084335706,1.0337656316099197,0.10568385624247961,182690.53418741448
80,2,14.139555930365361,0.453,0.19297719190970075,24.0,0.2501582292741397,0.9401349028539909,0.10656695942257523,182060.84791424562
80,3,23.9705476211904,0.503,0.214277102716511,24.0,0.18674759157642504,0.761522031609644,0.07955414087928961,182395.73066597883
80,4,23.9986594555196,0.296,0.1260954719763166,24.0,0.2634676393190223,1.2358275377581662,0.1122367443595205,179232.69911243158
80,5,23.999364263638,0.221,0.09414560576610125,24.0,0.06273646503720189,0.9315654545240366,0.026725622192539385,179235.31648176815
